,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
415,0,3,110,,,2,107265,0,0,0,0,0.0,1,1,5.0,5.5,1,Angus,5.5,9,0,13.7,319,False,136.0,540,,,45,0,0,0,107265.jpg,4.2,0,19,Gunn,3.6,False,,a,16,20,0.0,25,206228,28120,48360,15504,1.2,5.6,Gunn,0
416,0,2,53,100.0,75.0,1,83283,0,0,-2,2,89.9,1,3,2.5,2.2,2,Nathan,3.0,7,1,27.6,320,False,67.6,357,,2019-08-27T21:30:10.776482Z,63,0,0,0,83283.jpg,4.0,0,0,Redmond,0.8,False,,a,16,20,117.0,16,20972,1519,110533,1900,0.5,2.5,Redmond,0
417,0,2,90,,,2,101178,0,0,-2,2,163.9,0,3,3.5,4.0,9,James,4.0,9,1,31.4,321,False,91.2,540,,,58,0,0,0,101178.jpg,3.3,0,0,Ward-Prowse,0.7,False,,a,16,20,59.0,20,18307,7718,34577,2254,0.7,3.4,Ward-Prowse,1
418,0,0,0,0.0,0.0,0,96787,0,0,-2,2,0.0,0,3,0.0,0.0,0,Mohamed,0.0,0,0,0.0,322,False,0.0,0,Joined Celtic on loan until the end of the season on 30/8. - Expected back 01 Jul,2019-08-31T00:00:09.798881Z,53,0,0,0,96787.jpg,0.0,0,0,Elyounoussi,0.0,False,,n,16,20,0.0,0,169,9,2749,122,0.0,0.0,Elyounoussi,0
419,0,0,5,,,0,91047,0,0,-2,2,1.7,0,3,0.3,0.8,1,Stuart,0.8,2,0,2.5,323,False,3.8,54,,,53,0,0,0,91047.jpg,0.8,0,0,Armstrong,0.1,False,,a,16,20,19.0,4,1054,74,5660,318,0.2,0.8,Armstrong,1
420,0,0,0,0.0,0.0,0,151086,0,0,-2,2,0.0,0,3,0.0,0.0,0,Mario,0.0,0,0,0.0,324,False,0.0,0,Joined Galatasaray on loan until the end of the season on 2/9. - Expected back 01 Jul,2019-09-02T23:30:15.367440Z,48,0,0,0,151086.jpg,0.0,0,0,Lemina,0.1,False,,n,16,20,0.0,0,1168,13,8681,416,0.0,0.0,Lemina,0
421,0,0,52,,,2,132015,0,0,-1,1,69.7,0,3,1.7,2.2,2,Pierre-Emile,2.2,7,0,24.2,325,False,85.8,467,,,49,0,0,0,132015.jpg,2.0,0,0,Højbjerg,0.5,False,,a,16,20,88.0,12,7873,552,29641,1913,0.4,2.4,Højbjerg,1
422,0,0,0,0.0,0.0,0,204481,0,0,-1,1,0.0,0,3,0.0,0.0,0,Tyreke,0.0,0,0,0.0,326,False,0.0,0,Joined Woking on loan until January on 2/8. - Expected back 01 Jan,2019-08-02T13:30:09.188463Z,44,0,0,0,204481.jpg,0.0,0,0,Johnson,0.0,False,,n,16,20,0.0,0,1251,258,1699,154,0.0,0.0,Johnson,0
423,0,0,0,,,0,193109,0,0,-1,1,0.0,0,3,-0.5,0.0,0,Callum,0.0,0,0,0.0,327,False,0.0,0,,,44,0,0,0,193109.jpg,0.0,0,0,Slattery,0.4,False,,a,16,20,0.0,0,15005,8095,8159,2230,0.0,0.0,Slattery,0
424,0,0,94,,,2,78056,0,0,0,0,79.6,0,3,1.7,2.2,1,Oriol,2.2,8,0,19.3,328,False,94.4,513,,,45,0,0,0,78056.jpg,2.0,0,0,Romeu Vidal,1.2,False,,a,16,20,19.0,12,37081,3322,40571,4404,0.5,2.7,Oriol Romeu,2
